,역명,승차총승객수,하차총승객수,동주소,위도,경도
94,화서,8439.555017921146,8343.194617255505,화서동,37.2848937,126.9891996
95,회기,29535.980971582187,28936.690719406044,휘경동,37.5897449,127.0580466
96,회룡,13065.349571172555,12576.456560419863,호원동,37.7244219,127.0472187
97,용답,2640.287685611879,2661.8313300051204,용답동,37.5620049,127.0507293
98,신답,1355.8282002048131,1524.1382168458786,용답동,37.5699911,127.0468202
99,용두,2275.617889144905,2366.959504608295,용두동,37.5743753,127.0378335
100,을지로입구,48716.0191500256,48190.729448284685,을지로1가,37.5660509,126.982373
101,을지로3가,14708.881147593447,15045.330622759857,을지로3가,37.5662659,126.9903084
102,을지로4가,8671.782264464926,8794.044806067588,을지로4가,37.566637,126.9978528
103,동대문역사문화공원,14849.27415941287,15285.859895033282,을지로7가,37.5655895,127.0091315
104,신당,11774.211651945725,12204.30070404506,신당동,37.5656541,127.0195406
105,상왕십리,12945.34693420379,12313.535739887351,하왕십리동,37.5644687,127.0290313
106,왕십리,14066.799507168456,13764.469608721623,행당동,37.5612217,127.0366554
107,한양대,11222.279115463389,13064.485842293909,행당동,37.5555779,127.0435845
108,뚝섬,16279.523943932412,17232.650115207372,성수동1가,37.5471882,127.0473652
109,성수,26014.41461853559,28281.938492063488,성수동2가,37.5445024,127.0560905
110,건대입구,30752.726452892985,33512.54390360983,화양동,37.5404189,127.0691733
111,구의,23432.22830901177,22732.491372247816,구의동,37.5371536,127.0861792
112,강변,48220.69518049155,47754.050492831535,구의동,37.5351693,127.0946646
113,잠실나루,17353.947670250895,16659.59146825397,신천동,37.5206867,127.103811
114,잠실,51286.992789938566,49523.75310099847,신천동,37.5138593,127.1018578
115,종합운동장,10947.218065156168,11375.122932667693,잠실동,37.5109693,127.0733561
116,삼성,56046.274609575,57779.56736431131,삼성동,37.508862,127.063073
117,선릉,30697.37908666155,31294.584158986177,삼성동,37.5045028,127.0489425
118,역삼,44739.631368407565,49395.386872759875,역삼동,37.5007163,127.0366182
119,강남,100639.77033410141,101324.68925371225,역삼동,37.4981647,127.0283079
120,교대,25338.47068292371,25359.965985023053,서초동,37.4928182,127.0138384
121,서초,22394.18158602151,22406.24355478751,서초동,37.491823,127.0075808
122,방배,20582.75490911418,20866.925787250384,방배동,37.4814365,126.9976949
123,사당,35617.942940348184,36871.01750832053,사당동,37.4765228,126.981409
124,낙성대,30431.267281105986,29192.453206605223,봉천동,37.4770652,126.96341
125,서울대입구,52678.92465437788,51313.81790194573,봉천동,37.4811526,126.9526451
126,봉천,23300.988472862267,21377.61563620072,봉천동,37.4825563,126.9414953
127,신림,70412.21801715309,68892.9161354327,신림동,37.4842176,126.9298034
128,신대방,28497.61172555044,26918.55572196621,신대방동,37.4875665,126.9131597
129,구로디지털단지,62353.842722734254,62362.7055875576,구로동,37.4853149,126.9014944
130,대림,20598.41309203789,21085.412983230923,구로동,37.4933105,126.8949462
131,문래,18743.13412058372,19024.191692268305,문래동3가,37.5179215,126.894763
133,당산,19508.89084741424,20307.698406298,당산동6가,37.5349568,126.9027307
134,합정,23866.89062019969,24263.274267153094,서교동,37.5501152,126.9146382
135,홍대입구,29747.428522819682,31762.027910164645,동교동,37.5568904,126.9236743
136,신촌,25228.97740015361,25734.120977342547,노고산동,37.5554418,126.9361192
137,이대,20121.54470686124,21359.753949052738,대흥동,37.5564825,126.9454989
138,아현,10289.356041986686,9849.239272913468,아현동,37.5571184,126.9557389
139,충정로,7991.872980670763,8384.019978878647,충정로3가,37.5598378,126.9644741
140,도림천,1052.8833269329236,1187.7107654889915,신도림동,37.514442,126.8827026
141,양천구청,6891.070865335382,7220.3745903737845,신정동,37.512699,126.8660652
142,신정네거리,9741.022990271378,9962.45905657962,신정동,37.5196427,126.8527877
143,까치산,30017.837122375837,28413.63600870456,화곡동,37.5319561,126.8466116
144,삼송,15326.529397081416,14622.808186123912,삼송동,37.6532535,126.8957426
145,지축,1138.5757000448027,1259.865954621096,지축동,37.649618,126.9121677
146,구파발,20232.379704301078,18264.151542498723,진관동,37.6368418,126.9187454
147,연신내,29402.23037114636,27733.773737025942,갈현동,37.618962,126.9211621
148,불광,12592.39546530978,13365.510330261135,대조동,37.6102073,126.9299858
149,녹번,12974.135791090628,11197.44485407066,녹번동,37.6007422,126.9360194
150,홍제,20034.705472350237,19024.143644393243,홍제동,37.5887104,126.9442423
151,무악재,4207.919374039938,4226.869636456733,홍제동,37.5823842,126.9503222
152,독립문,8141.9872055811575,8387.439484126984,현저동,37.5744104,126.9577503
153,경복궁,25004.471761392728,25986.459402201737,적선동,37.5753767,126.9733437
154,안국,25981.760119047616,27817.532309267797,안국동,37.5767204,126.985823
155,동대입구,11761.604550691245,13331.67553763441,장충동2가,37.5590302,127.0054602
156,약수,8932.9146281362,8648.836869559653,신당동,37.5545595,127.0108225
157,금호,8643.60322580645,7978.565905017921,금호동4가,37.5481125,127.0158937
158,옥수,5061.863060035842,5253.817505120328,옥수동,37.5409877,127.0189654
159,압구정,33773.38253968255,36755.72115335381,신사동,37.5268297,127.0282166
160,신사,30544.342447516636,33000.80063364056,신사동,37.5164324,127.0203269
161,잠원,6116.683525345623,5872.944969278034,잠원동,37.5127991,127.0112201
162,고속터미널,31974.446870199696,32475.479746970483,반포동,37.5049302,127.0049482
163,남부터미널,35208.720750128006,36209.720481310804,서초동,37.4851402,127.016207
164,양재,39986.88922171018,42577.22268305172,서초동,37.4839347,127.0345442
165,매봉,11121.84569892473,10683.192313108038,도곡동,37.4869611,127.0466146
166,도곡,6632.970206093191,6622.611984767026,도곡동,37.4908647,127.0553234
167,대치,12360.789797747055,11789.659133384535,대치동,37.4945628,127.0634302
168,학여울,2975.820967741936,3055.5649065540197,대치동,37.4956835,127.0719668
169,대청,10098.104678699436,8964.338831285202,일원동,37.4937219,127.0794937
170,일원,8789.204454685101,9051.316385048643,일원동,37.4840736,127.0844518
171,수서,15223.027419354841,15103.146425371224,수서동,37.487389,127.1018592
172,경찰병원,7488.7122567844335,7437.752886584743,가락동,37.4956031,127.1240678
173,오금,5268.791087429595,4898.678565028163,오금동,37.502266,127.1278792
174,충무로,18564.3610801846,19069.387360790603,필동2가,37.5611722,126.9941107
175,가락시장,8596.947123015872,9084.836040706605,가락동,37.492744,127.1184858
176,백석,11872.571786994367,11777.039330517151,백석동,37.6431608,126.7881716
177,마두,8324.475505632361,8631.111200716845,마두동,37.6523272,126.7782199
178,정발산,9309.245698924731,9839.262045570915,마두동,37.6596582,126.7734659
179,주엽,9750.83322452637,9859.32445596518,주엽동,37.6704316,126.761046
180,대화,15031.073380696367,12041.215386584741,대화동,37.6759548,126.7473051
181,대곡,1638.5187083973374,1234.737346390169,대장동,37.6318206,126.8106027
182,원당,12109.1351062468,11545.050864055303,성사동,37.6534333,126.8431047
183,화정,19865.34806707629,20727.79105222734,화정동,37.6345078,126.83263
184,과천,4790.747158218127,3952.4522209421393,별양동,37.4334528,126.9974569
185,선바위,8987.79708781362,7303.023681515618,과천동,37.4518723,127.0013633
186,대공원,5626.438095238096,5889.085061443932,과천동,37.4357353,127.0055641
187,경마공원,7197.997100614441,7298.043042754735,과천동,37.4441407,127.0080511
188,정부과천청사,12595.590431387607,11746.84297875064,별양동,37.425997,126.9901861
189,당고개,13299.537640809014,12515.172983870969,상계동,37.6702926,127.0790112
190,상계,21689.80830773169,19412.032053251405,상계동,37.6609039,127.0735754
191,노원,21920.332632488484,24239.244937275987,상계동,37.6562678,127.0630304
192,쌍문,33712.964324116736,29470.977323348685,창동,37.6488499,127.0348808
193,수유,43635.520442908346,42585.00750128009,수유동,37.6377452,127.0253569
194,미아,18702.45458269329,17190.65936379928,미아동,37.6264436,127.0261035
195,미아사거리,32089.653808243722,31011.78828084997,미아동,37.6132861,127.0300984
196,길음,26318.544406041983,25271.234747823863,길음동,37.6026982,127.0236736
197,성신여대입구,22669.369471890263,21153.852390281798,동선동4가,37.592718,127.0164776
198,한성대입구,16669.187051971327,15898.956445212492,삼선동1가,37.5883949,127.0059504
199,혜화,42643.25385304659,44537.576702508966,동숭동,37.5818891,127.0023149
200,명동,39817.4279185868,42917.827560163845,충무로2가,37.5609101,126.9859471
201,회현,30353.687890424986,31881.747075012798,남창동,37.5585353,126.9782391
202,숙대입구,16900.644399641576,16575.600614439325,갈월동,37.545194,126.9718723
203,삼각지,6317.621678187404,6131.9068548387095,한강로1가,37.5345937,126.9730111
204,신용산,13162.535541474654,13871.974379160269,한강로2가,37.5296156,126.9682159
205,이촌,7189.571745391703,7192.153264208911,용산동5가,37.5225203,126.9736831
206,동작,2387.43194124424,2233.5264304915513,동작동,37.5028704,126.9802684
207,총신대입구,21863.735752688168,24478.15718766001,사당동,37.4875538,126.9821998
208,남태령,2664.0575396825393,1137.1886456733234,방배동,37.4648576,126.9886565
209,정왕,9304.623758320533,9801.459869431645,정왕동,37.351774,126.7430094
210,오이도,9275.159453405018,9042.389087301588,정왕동,37.361927,126.7384636
211,평촌,16462.352918586792,16173.140117767534,관양동,37.3944956,126.9638663
212,범계,30227.59037378392,29509.566340245776,호계동,37.3897344,126.9509839
213,산본,18386.574564772145,19585.94752944188,산본동,37.3581052,126.9331751
214,수리산,4719.302848182283,3774.602080133128,산본동,37.3501288,126.9254902
215,한대앞,9552.955811571941,9219.161104710704,이동,37.3103819,126.8533807
216,상록수,21294.503942652333,20768.64917434716,본오동,37.3029805,126.8654174
217,인덕원,25809.2412890425,24899.83055555556,관양동,37.401508,126.9766888
218,대야미,4175.547849462366,3752.713159242192,대야미동,37.3283279,126.9171789
219,반월,5006.522267025089,4661.931598822325,건건동,37.3120044,126.903795
220,초지,4453.419303635433,4357.8788146441375,고잔동,37.3169101,126.8220322
221,중앙,17459.837333589352,18390.7323796723,고잔동,37.3160121,126.8384965
222,신길온천,1847.0314324116746,1677.9474206349203,신길동,37.3375788,126.7671491
223,안산,17299.82123015873,15947.060451868918,원곡동,37.3265849,126.7908559
